Country|CountryCode|Province|Week|Confirmed|Deaths|Recoverd|Active|Confirmed_AVG|Deaths_AVG|Recoverd_AVG|Active_AVG|Confirmed_MIN|Deaths_MIN|Recoverd_MIN|Active_MIN|Confirmed_MAX|Deaths_MAX|Recoverd_MAX|Active_MAX
Brazil|BR|Mato Grosso|08|8572|153|7128|2405|244817.1|5618.6|230727.0|8471.6|240371|5534|227549|7288|248943|5687|234677|9693
Brazil|BR|Mato Grosso do Sul|05|2943|62|2528|895|163152.3|2959.0|152450.2|7743.2|161371|2921|151076|7374|164314|2983|153604|8269
Brazil|BR|Mato Grosso do Sul|06|5812|132|4804|2093|167519.3|3060.4|157131.4|7327.4|164314|2983|155196|6135|170126|3115|160000|8228
Brazil|BR|Mato Grosso do Sul|07|4591|68|3231|1667|172589.0|3165.7|161738.0|7685.3|170522|3130|160472|6919|175113|3198|163703|8586
Brazil|BR|Mato Grosso do Sul|08|5442|102|3981|1857|178159.0|3254.9|166581.1|8323.0|175544|3204|164889|7451|180986|3306|168870|9308
Brazil|BR|Minas Gerais|05|26147|573|31606|6032|750991.8|15394.7|674866.8|60730.3|736265|15094|658510|56629|762412|15667|690116|62661
Brazil|BR|Minas Gerais|06|41651|1093|31874|14762|785613.4|16225.7|711016.4|58371.3|762412|15667|697254|49491|804063|16760|729128|64253
Brazil|BR|Minas Gerais|07|29794|715|31212|5778|818787.0|17151.9|745584.3|56050.9|807247|16879|731674|52916|837041|17594|762886|58694
Brazil|BR|Minas Gerais|08|34569|717|30423|8545|855790.0|18005.3|779136.6|58648.1|840315|17714|765805|56489|874884|18431|796228|65034
Brazil|BR|Para|05|6967|62|9449|2544|333551.8|7689.7|313397.5|12464.7|329486|7655|308081|11206|336453|7717|317530|13750
Brazil|BR|Para|06|11047|267|8006|5113|342380.6|7860.6|321295.3|13224.7|336453|7717|318167|10569|347500|7984|326173|15682
Brazil|BR|Para|07|6624|267|6621|1487|350787.9|8096.0|329589.7|13102.1|347963|7999|326894|12102|354587|8266|333515|13589
Brazil|BR|Para|08|8788|299|6916|2933|359255.7|8409.6|337167.9|13678.3|355128|8278|334356|12494|363916|8577|341272|15427
Brazil|BR|Paraiba|05|2884|55|936|1906|194504.7|4100.3|149452.7|40951.7|192598|4068|148856|39674|195482|4123|149792|41580
Brazil|BR|Paraiba|06|8461|107|4957|3397|200455.7|4180.4|152821.9|43453.4|195482|4123|149792|41567|203943|4230|154749|44964
Brazil|BR|Paraiba|07|6698|102|1515|5081|207704.0|4290.7|155483.9|47929.4|204584|4242|154858|45484|211282|4344|156373|50565
